Product_ID,Sale_Date,Region,Product_Category,Quantity_Sold,Unit_Cost,Unit_Price,Discount,Sales_Amount,Sales_Channel,Customer_Type
P010000,2022-01-15,East,Clothing,52,1255.85,2117.41,0.2839,78845.68,Online,Returning
P010001,2022-01-15,East,Clothing,102,700.45,1170.76,0.2453,90128.02,Online,Returning
P010002,2022-01-15,East,Clothing,92,1426.26,2310.95,0.3477,138691.35,Online,New
P010003,2022-01-15,East,Clothing,93,929.73,1640.0,0.064,142758.46,Retail,New
P010004,2022-01-15,East,Electronics,71,12207.29,16063.68,0.1174,1006601.14,Retail,New
P010005,2022-01-15,East,Electronics,80,2845.67,4341.61,0.1942,279892.04,Retail,New
P010006,2022-01-15,East,Electronics,78,3269.74,4746.3,0.1048,331403.84,Online,Returning
P010007,2022-01-15,East,Food,72,348.14,536.04,0.0876,35213.63,Retail,New
P010008,2022-01-15,East,Food,91,486.31,820.92,0.1421,64085.49,Retail,New
P010009,2022-01-15,East,Food,101,138.19,201.0,0.0623,19036.1,Retail,New
P010010,2022-01-15,East,Furniture,47,7660.89,12979.3,0.1714,505464.22,Online,New
P010011,2022-01-15,East,Furniture,45,5945.72,9022.11,0.1087,361864.17,Online,New
P010012,2022-01-15,North,Clothing,70,1248.21,2294.39,0.3279,107945.87,Retail,Returning
P010013,2022-01-15,North,Clothing,64,414.49,726.81,0.2507,34856.52,Retail,Returning
P010014,2022-01-15,North,Clothing,46,629.67,1147.28,0.1649,44073.53,Online,New
P010015,2022-01-15,North,Clothing,72,1152.8,1913.55,0.1818,112727.81,Online,Returning
P010016,2022-01-15,North,Electronics,60,6086.63,8535.89,0.1843,417770.32,Retail,New
P010017,2022-01-15,North,Electronics,45,3000.74,4024.38,0.0574,170700.84,Retail,Returning
P010018,2022-01-15,North,Food,90,97.47,154.6,0.0484,13240.61,Retail,New
P010019,2022-01-15,North,Food,72,210.33,363.92,0.0554,24751.02,Retail,New
P010020,2022-01-15,North,Furniture,31,10537.67,14722.76,0.1521,386963.74,Online,New
P010021,2022-01-15,North,Furniture,46,11400.55,17046.02,0.1538,663552.74,Retail,Returning
P010022,2022-01-15,South,Clothing,55,604.7,1033.35,0.2589,42120.54,Retail,New
P010023,2022-01-15,South,Clothing,74,1471.94,2602.35,0.0599,181035.59,Retail,Returning
P010024,2022-01-15,South,Electronics,87,3883.63,5425.62,0.1976,378774.45,Retail,New
P010025,2022-01-15,South,Electronics,58,11466.81,15629.03,0.1375,781849.38,Retail,Returning
P010026,2022-01-15,South,Electronics,101,3173.77,4741.24,0.0845,438385.69,Online,Returning
P010027,2022-01-15,South,Food,97,206.9,304.3,0.1423,25318.03,Retail,Returning
P010028,2022-01-15,South,Food,87,426.97,707.16,0.1156,54411.9,Retail,New
P010029,2022-01-15,South,Food,62,128.73,225.83,0.0872,12781.04,Online,Returning
P010030,2022-01-15,South,Food,74,484.44,784.14,0.1347,50207.64,Retail,Returning
P010031,2022-01-15,South,Furniture,46,9688.69,15444.07,0.0668,662950.62,Online,Returning
P010032,2022-01-15,South,Furniture,61,7867.51,10997.6,0.0703,623696.44,Retail,Returning
P010033,2022-01-15,South,Furniture,40,3854.83,6228.54,0.0974,224862.67,Retail,Returning
P010034,2022-01-15,West,Clothing,91,1165.13,2016.72,0.2128,144475.25,Online,Returning
P010035,2022-01-15,West,Clothing,59,1474.67,2647.37,0.3218,105926.71,Retail,Returning
P010036,2022-01-15,West,Clothing,57,1074.12,1998.74,0.3093,78696.0,Retail,Returning
P010037,2022-01-15,West,Clothing,34,352.32,696.91,0.191,19169.64,Online,Returning
P010038,2022-01-15,West,Electronics,69,14389.93,19463.97,0.124,1176520.43,Online,New
P010039,2022-01-15,West,Electronics,65,4481.84,5984.04,0.1125,345205.03,Online,Returning
P010040,2022-01-15,West,Food,72,363.21,589.28,0.0326,41043.92,Retail,Returning
P010041,2022-01-15,West,Food,54,363.66,605.41,0.0667,30510.69,Online,Returning
P010042,2022-01-15,West,Food,79,414.55,711.98,0.1387,48443.58,Retail,Returning
P010043,2022-01-15,West,Furniture,108,9855.82,16468.11,0.1176,1569399.53,Retail,New
P010044,2022-01-15,West,Furniture,23,7571.94,10647.23,0.1431,209838.18,Retail,New
P010045,2022-01-15,West,Furniture,55,1892.16,3122.07,0.122,150758.17,Online,Returning
P010046,2022-02-15,East,Clothing,64,625.85,1231.36,0.1872,64055.82,Retail,Returning
P010047,2022-02-15,East,Clothing,76,466.02,777.23,0.3409,38934.94,Retail,New
P010048,2022-02-15,East,Electronics,97,7635.77,11211.84,0.0726,1008542.51,Online,Returning
P010049,2022-02-15,East,Electronics,60,7750.58,10286.11,0.046,588802.4,Online,Returning
P010050,2022-02-15,East,Electronics,95,10297.52,14464.67,0.1417,1179414.84,Online,Returning
P010051,2022-02-15,East,Electronics,63,4062.4,5255.31,0.0881,301909.68,Online,New
P010052,2022-02-15,East,Food,78,434.96,724.28,0.0816,51881.39,Retail,New
P010053,2022-02-15,East,Food,65,245.23,384.41,0.1001,22486.38,Retail,New
P010054,2022-02-15,East,Food,85,218.58,358.52,0.0854,27871.8,Online,New
P010055,2022-02-15,East,Furniture,75,11414.64,18992.04,0.1773,1171883.96,Retail,Returning
P010056,2022-02-15,East,Furniture,68,7520.35,10790.47,0.2122,578019.72,Retail,Returning
P010057,2022-02-15,East,Furniture,78,3670.19,5431.61,0.0929,384299.53,Retail,New
P010058,2022-02-15,East,Furniture,84,7991.67,11982.16,0.1811,824179.12,Retail,New
P010059,2022-02-15,North,Clothing,46,441.8,826.53,0.2387,28945.45,Retail,Returning
P010060,2022-02-15,North,Clothing,72,1264.18,2176.32,0.1032,140519.24,Retail,Returning
P010061,2022-02-15,North,Clothing,69,746.42,1417.83,0.1522,82936.75,Retail,Returning
P010062,2022-02-15,North,Clothing,80,814.79,1540.21,0.2764,89164.48,Retail,Returning
P010063,2022-02-15,North,Electronics,61,2695.31,4119.49,0.174,207560.89,Online,Returning
P010064,2022-02-15,North,Electronics,77,10798.01,15064.37,0.1138,1027936.47,Online,Returning
P010065,2022-02-15,North,Food,100,101.06,175.63,0.1467,14987.37,Retail,New
P010066,2022-02-15,North,Food,69,381.67,616.27,0.1118,37770.59,Retail,Returning
P010067,2022-02-15,North,Furniture,54,5664.84,9468.72,0.0793,470752.98,Retail,New
P010068,2022-02-15,North,Furniture,57,7603.71,12641.72,0.2261,557675.41,Retail,Returning
P010069,2022-02-15,North,Furniture,50,8935.9,13799.86,0.1256,603331.77,Retail,New
P010070,2022-02-15,South,Clothing,56,433.44,779.04,0.0534,41296.11,Online,New
P010071,2022-02-15,South,Clothing,66,1079.05,2037.87,0.225,104235.75,Retail,Returning
P010072,2022-02-15,South,Clothing,68,642.85,1242.44,0.1171,74594.54,Retail,New
P010073,2022-02-15,South,Clothing,81,964.63,1899.3,0.2069,122008.45,Retail,Returning
P010074,2022-02-15,South,Electronics,72,14945.81,21748.23,0.0953,1416622.38,Retail,New
P010075,2022-02-15,South,Electronics,70,7128.78,9195.36,0.0871,587635.32,Online,Returning
P010076,2022-02-15,South,Electronics,47,7047.49,9332.5,0.0752,405638.57,Retail,New
P010077,2022-02-15,South,Electronics,55,5636.93,7751.55,0.1325,369857.37,Online,New
P010078,2022-02-15,South,Food,55,420.14,732.7,0.1143,35690.64,Retail,Returning
P010079,2022-02-15,South,Food,103,70.35,101.9,0.0689,9771.67,Retail,Returning
P010080,2022-02-15,South,Food,73,117.69,191.85,0.0695,13031.15,Retail,New
P010081,2022-02-15,South,Food,94,75.37,129.39,0.1257,10633.83,Retail,Returning
P010082,2022-02-15,South,Furniture,38,7644.07,12384.14,0.2014,375811.33,Online,New
P010083,2022-02-15,South,Furniture,49,4384.68,6398.31,0.2256,242773.82,Retail,New
P010084,2022-02-15,West,Clothing,59,436.27,812.23,0.2061,38045.36,Retail,Returning
P010085,2022-02-15,West,Clothing,80,973.13,1883.58,0.171,124912.08,Online,New
P010086,2022-02-15,West,Clothing,51,1206.16,2223.34,0.2612,83769.96,Online,Returning
P010087,2022-02-15,West,Clothing,52,1007.9,1775.12,0.1812,75576.58,Retail,New
P010088,2022-02-15,West,Electronics,86,7861.84,11910.15,0.0807,941661.82,Retail,Returning
P010089,2022-02-15,West,Electronics,61,12947.19,19100.95,0.0413,1117083.27,Online,Returning
P010090,2022-02-15,West,Electronics,64,6516.37,8592.21,0.1285,479216.76,Retail,Returning
P010091,2022-02-15,West,Food,33,112.47,185.03,0.0436,5839.37,Retail,Returning
P010092,2022-02-15,West,Food,56,263.28,435.37,0.0424,23346.9,Online,New
P010093,2022-02-15,West,Food,52,104.29,165.55,0.0468,8205.46,Retail,Returning
P010094,2022-02-15,West,Food,54,360.68,523.91,0.1239,24785.36,Retail,Returning
P010095,2022-02-15,West,Furniture,53,1527.25,2541.61,0.0669,125692.84,Retail,Returning
P010096,2022-02-15,West,Furniture,53,7134.2,11995.82,0.0972,573966.2,Retail,New
P010097,2022-03-15,East,Clothing,103,602.92,1131.57,0.3186,79422.89,Retail,Returning
P010098,2022-03-15,East,Clothing,67,428.61,763.38,0.2098,40416.55,Retail,New
P010099,2022-03-15,East,Clothing,65,686.49,1164.38,0.1482,64464.44,Online,Returning
P010100,2022-03-15,East,Clothing,66,1012.31,1887.43,0.2868,88849.67,Retail,Returning
P010101,2022-03-15,East,Electronics,70,9337.96,12756.18,0.0874,814920.74,Retail,Returning
P010102,2022-03-15,East,Electronics,61,5176.59,7244.69,0.0862,403849.94,Retail,Returning
P010103,2022-03-15,East,Food,69,178.29,266.63,0.1366,15884.95,Online,Returning
P010104,2022-03-15,East,Food,93,234.68,411.71,0.0346,36965.65,Retail,Returning
P010105,2022-03-15,East,Food,86,166.06,248.2,0.1069,19063.02,Retail,Returning
P010106,2022-03-15,East,Furniture,67,4439.78,7252.57,0.0874,443448.43,Retail,New
P010107,2022-03-15,East,Furniture,52,2705.79,4286.76,0.1077,198897.98,Retail,New
P010108,2022-03-15,East,Furniture,66,6551.97,10221.75,0.0604,633911.2,Online,Returning
P010109,2022-03-15,North,Clothing,62,1121.49,1852.28,0.0916,104316.59,Online,New
P010110,2022-03-15,North,Clothing,60,867.8,1595.19,0.2883,68118.89,Retail,Returning
P010111,2022-03-15,North,Electronics,83,4356.03,5569.7,0.156,390173.18,Retail,Returning
P010112,2022-03-15,North,Electronics,56,3817.04,5659.43,0.0643,296557.03,Retail,Returning
P010113,2022-03-15,North,Electronics,56,8799.85,11971.95,0.1791,550339.41,Online,Returning
P010114,2022-03-15,North,Food,41,371.2,641.4,0.1011,23637.78,Retail,Returning
P010115,2022-03-15,North,Food,98,226.17,364.17,0.0287,34666.07,Online,Returning
P010116,2022-03-15,North,Food,62,244.19,377.64,0.115,20721.58,Retail,Returning
P010117,2022-03-15,North,Food,83,383.66,622.83,0.1497,43956.35,Retail,Returning
P010118,2022-03-15,North,Furniture,75,9311.44,13086.25,0.164,820529.29,Retail,Returning
P010119,2022-03-15,North,Furniture,73,2661.63,4411.39,0.0755,297718.92,Retail,Returning
P010120,2022-03-15,North,Furniture,81,3074.13,4506.89,0.1945,294072.21,Retail,Returning
P010121,2022-03-15,North,Furniture,88,4143.89,6224.81,0.0863,500498.86,Retail,Returning
P010122,2022-03-15,South,Clothing,78,854.41,1675.51,0.096,118142.91,Retail,New
P010123,2022-03-15,South,Clothing,115,1346.55,2633.26,0.2195,236342.76,Retail,Returning
P010124,2022-03-15,South,Clothing,55,1148.69,1923.95,0.2229,82232.05,Retail,Returning
P010125,2022-03-15,South,Clothing,103,1410.68,2514.26,0.084,237222.99,Retail,Returning
P010126,2022-03-15,South,Electronics,75,12887.38,17436.64,0.0829,1199276.04,Online,Returning
P010127,2022-03-15,South,Electronics,46,4672.54,6918.07,0.1326,276023.41,Online,Returning
P010128,2022-03-15,South,Electronics,79,13225.74,20082.34,0.1092,1413307.61,Retail,New
P010129,2022-03-15,South,Food,83,113.39,169.68,0.0848,12888.98,Retail,Returning
P010130,2022-03-15,South,Food,79,213.08,346.42,0.1022,24570.3,Online,Returning
P010131,2022-03-15,South,Food,67,275.99,450.0,0.0287,29284.38,Retail,New
P010132,2022-03-15,South,Food,83,454.12,683.75,0.0448,54209.4,Retail,New
P010133,2022-03-15,South,Furniture,67,8997.62,14023.43,0.1569,792159.61,Retail,Returning
P010134,2022-03-15,South,Furniture,77,9536.24,13607.49,0.1169,925320.62,Online,Returning
P010135,2022-03-15,South,Furniture,72,7029.07,11550.4,0.2458,627225.96,Retail,Returning
P010136,2022-03-15,West,Clothing,103,962.07,1646.48,0.1088,151130.71,Retail,Returning
P010137,2022-03-15,West,Clothing,67,1364.95,2484.79,0.2662,122156.23,Retail,Returning
P010138,2022-03-15,West,Electronics,47,12792.86,17541.71,0.1436,706089.02,Retail,New
P010139,2022-03-15,West,Electronics,43,3111.61,4101.75,0.0345,170288.49,Online,Returning
P010140,2022-03-15,West,Electronics,38,7478.52,11292.18,0.169,356599.17,Online,Returning
P010141,2022-03-15,West,Food,59,205.34,346.53,0.0672,19072.27,Retail,New
P010142,2022-03-15,West,Food,76,488.55,825.41,0.0349,60544.93,Retail,New
P010143,2022-03-15,West,Furniture,65,1735.93,2566.2,0.1583,140393.86,Retail,New
P010144,2022-03-15,West,Furniture,45,2963.24,4900.69,0.2469,166086.19,Online,New
P010145,2022-03-15,West,Furniture,66,11100.14,15889.88,0.1653,875373.12,Online,Returning
P010146,2022-04-15,East,Clothing,81,896.96,1685.63,0.082,125343.58,Online,Returning
P010147,2022-04-15,East,Clothing,78,600.88,1110.37,0.1983,69435.83,Retail,Returning
P010148,2022-04-15,East,Electronics,86,6980.8,9810.1,0.038,811622.36,Online,Returning
P010149,2022-04-15,East,Electronics,68,5189.54,7104.49,0.0791,444902.5,Online,Returning
P010150,2022-04-15,East,Food,61,324.68,566.17,0.0716,32065.0,Retail,New
P010151,2022-04-15,East,Food,86,428.69,733.42,0.1442,53980.17,Online,Returning
P010152,2022-04-15,East,Food,112,263.41,408.33,0.0657,42728.71,Retail,Returning
P010153,2022-04-15,East,Food,77,84.17,123.3,0.0203,9301.29,Retail,New
P010154,2022-04-15,East,Furniture,106,4803.26,7902.83,0.2424,634624.65,Retail,New
