Region,Category,Avg_Margin_Pct,Margin_Gap_vs_Top_Quartile,Avg_Discount_Pct,Avg_Price_vs_Competitor,Avg_Inventory_Coverage_Days,Spot_Sales_Ratio_Avg,Online_Sales_Ratio_Avg,Fulfillment_Rate_Avg,Recommendations
East,Clothing,99.22,0.0,19.89,-178.14,43.5,62.73,37.27,90.38,Priced below competitors – possible room to raise prices without volume loss.
East,Electronics,99.08,0.13,11.08,-1352.41,42.4,59.26,40.74,90.91,Priced below competitors – possible room to raise prices without volume loss.
East,Food,99.23,0.0,8.73,1.51,37.9,67.13,32.87,88.95,Performance is on-track.
East,Furniture,99.05,0.16,14.27,-457.59,46.8,73.61,26.39,89.43,Priced below competitors – possible room to raise prices without volume loss.
North,Clothing,99.06,0.15,20.38,-116.92,40.2,60.65,39.35,89.29,High avg discount (20.4%) – consider loyalty rewards instead of blanket discounts. | Priced below competitors – possible room to raise prices without volume loss.
North,Electronics,98.84,0.38,11.64,-554.39,45.0,55.09,44.91,87.19,Priced below competitors – possible room to raise prices without volume loss.
North,Food,99.12,0.09,8.49,-19.34,41.0,80.09,19.91,87.84,Priced below competitors – possible room to raise prices without volume loss. | Low online sales share – invest in e-commerce / marketplace presence.
North,Furniture,98.85,0.37,14.49,600.59,47.7,69.91,30.09,87.71,Performance is on-track.
South,Clothing,99.17,0.04,18.95,-142.5,35.1,70.83,29.17,90.27,Priced below competitors – possible room to raise prices without volume loss.
South,Electronics,99.0,0.21,11.63,-267.23,40.9,60.42,39.58,90.76,Priced below competitors – possible room to raise prices without volume loss.
South,Food,99.2,0.01,9.01,40.15,38.5,75.46,24.54,88.8,Performance is on-track.
South,Furniture,98.96,0.26,15.26,1271.42,43.8,76.16,23.84,87.98,Performance is on-track.
West,Clothing,99.07,0.15,19.33,-37.53,36.1,75.46,24.54,90.32,Priced below competitors – possible room to raise prices without volume loss.
West,Electronics,98.79,0.43,11.49,436.39,45.5,56.71,43.29,90.05,Performance is on-track.
West,Food,99.05,0.16,8.74,35.91,40.6,66.9,33.1,90.27,Performance is on-track.
West,Furniture,98.84,0.38,13.39,-478.68,45.8,70.37,29.63,93.03,Priced below competitors – possible room to raise prices without volume loss.
