Month,Region,Category,Total_Sales_Amount,Total_Qty_Sold,Avg_Unit_Cost,Avg_Unit_Price,Avg_Discount_Sales,Num_Transactions,New_Customers,Returning_Customers,Online_Txn,Retail_Txn,Inventory_Level,Units_Sold_Online,Units_Ordered,Demand_Forecast,Avg_Price,Avg_Discount_Inv,Weather_Mode,Holiday_Days,Competitor_Pricing,Seasonality,COGS,Gross_Profit,Profit_Margin_Pct,Avg_Revenue_Per_Txn,Transport_Cost_Est,Net_Profit,Net_Profit_Margin,Spot_Sales_Ratio,Online_Sales_Ratio,Price_vs_Competitor,Fulfillment_Rate,Inventory_Coverage,Year,MonthNum,Quarter,Recommended_Price,Recommended_Order_Qty,Sales_Growth_MoM,Profit_Growth_MoM
2022-01-01,East,Clothing,450423.51,339,1078.0725,1809.78,0.23522500000000002,4,2,2,3,1,346.0,190,261,227.0,1946.58,0.0746,Sunny,1,1816.42,Spring,4312.29,446111.22000000003,99.04261436087117,112605.8775,86.2458,446024.97420000006,99.02346664808861,0.25,0.75,-6.6400000000001,0.8370044052863436,30.61946902654867,2022,1,1,1796.7875000000001,261.0,,
2022-02-01,East,Clothing,102990.76000000001,140,545.935,1004.295,0.26405,2,1,1,0,2,390.0,239,340,296.0,1131.19,0.1476,Sunny,0,1042.88,Spring,1091.87,101898.89000000001,98.93983693294427,51495.380000000005,21.8374,101877.05260000001,98.91863367160316,1.0,0.0,-38.58500000000015,0.8074324324324325,83.57142857142857,2022,2,1,909.8916666666667,340.0,-77.13468375573913,-77.1588905346099
2022-03-01,East,Clothing,273153.55,301,682.5825,1236.69,0.24085,4,1,3,1,3,356.0,201,300,261.0,635.5,0.2797,Sunny,0,596.54,Spring,2730.33,270423.22,99.00044132686541,68288.3875,54.6066,270368.6134,98.98045015340273,0.75,0.25,640.1500000000001,0.7701149425287356,35.48172757475083,2022,3,1,1137.6375,300.0,165.22141403753108,165.38715687187042
2022-04-01,East,Clothing,194779.41,159,748.9200000000001,1398.0,0.14015,2,0,2,1,1,381.0,295,397,346.0,1362.07,0.2674,Sunny,0,1204.68,Summer,1497.8400000000001,193281.57,99.23100701455047,97389.705,29.956800000000005,193251.6132,99.21562715484147,0.5,0.5,193.31999999999994,0.8526011560693642,71.88679245283019,2022,4,2,1248.2000000000003,398.0,-28.69233806406689,-28.522911454188783
2022-05-01,East,Clothing,190927.36000000002,185,685.595,1241.765,0.20535,2,1,1,0,2,307.0,386,426,371.0,2577.39,0.2568,Rainy,0,2715.28,Summer,1371.19,189556.17,99.28182634484655,95463.68000000001,27.4238,189528.74620000002,99.26746287174348,1.0,0.0,-1473.515,1.0,49.78378378378378,2022,5,2,1142.6583333333335,427.0,-1.977647432036056,-1.9264351476057762
2022-06-01,East,Clothing,223066.37,215,910.17,1590.255,0.2771,2,0,2,1,1,288.0,444,523,455.0,1233.1,0.2935,Windy,0,1227.05,Summer,1820.34,221246.03,99.18394691230237,111533.185,36.4068,221209.6232,99.16762585054842,0.5,0.5,363.20500000000015,0.9758241758241758,40.18604651162791,2022,6,2,1516.95,523.0,16.833108675466924,16.71560522358375
2022-07-01,East,Clothing,741693.26,416,1267.5975,2204.68,0.18937500000000002,4,0,4,1,3,288.0,431,573,499.0,1743.03,0.1498,Windy,0,1810.43,Autumn,5070.39,736622.87,99.31637642224226,185423.315,101.40780000000001,736521.4622,99.3027039506871,0.75,0.25,394.2499999999998,0.8637274549098196,20.76923076923077,2022,7,3,2112.6625000000004,574.0,232.49891500901728,232.95181807443174
2022-08-01,East,Clothing,132497.24,170,575.06,1014.645,0.19555,2,0,2,0,2,408.0,270,353,307.0,2628.62,0.2769,Cloudy,1,2502.56,Autumn,1150.12,131347.12,99.13196682436555,66248.62,23.002399999999998,131324.1176,99.11460616085287,1.0,0.0,-1487.915,0.8794788273615635,72.0,2022,8,3,958.4333333333333,353.0,-82.13584413588981,-82.16968216951437
2022-09-01,East,Clothing,327864.55,187,1385.575,2532.35,0.32099999999999995,2,2,0,1,1,262.0,310,368,320.0,643.68,0.1229,Sunny,0,654.05,Autumn,2771.15,325093.39999999997,99.1547881587076,163932.275,55.423,325037.97699999996,99.13788392188175,0.5,0.5,1878.3,0.96875,42.032085561497325,2022,9,3,2309.291666666667,368.0,147.4500978284529,147.50821322099634
2022-10-01,East,Clothing,245406.21000000002,182,924.74,1664.915,0.20965,2,0,2,1,1,391.0,240,287,250.0,2505.5,0.1487,Sunny,1,2755.41,Winter,1849.48,243556.73,99.24635973963332,122703.10500000001,36.9896,243519.7404,99.23128693442598,0.5,0.5,-1090.495,0.96,64.45054945054946,2022,10,4,1541.2333333333333,288.0,-25.150123732498674,-25.0796037288898
